2024-11-25 22:50:55,074 - Inicio de prueba del entorno.
2024-11-25 22:50:55,123 - Step: 79, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.00148949]
2024-11-25 22:50:55,123 - Step: 80, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.75547823]
2024-11-25 22:50:55,124 - Step: 81, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.4373856 ]
2024-11-25 22:50:55,124 - Step: 82, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.64223644]
2024-11-25 22:50:55,125 - Step: 83, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.26370085]
2024-11-25 22:50:55,125 - Step: 84, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.82025257]
2024-11-25 22:50:55,126 - Step: 85, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.46718948]
2024-11-25 22:50:55,126 - Step: 86, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.77235601]
2024-11-25 22:50:55,127 - Step: 87, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.9510759 ]
2024-11-25 22:50:55,127 - Step: 88, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.82185322]
2024-11-25 22:50:55,128 - Step: 89, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.74662998]
2024-11-25 22:50:55,128 - Step: 90, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.66557547]
2024-11-25 22:50:55,128 - Step: 91, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.32426768]
2024-11-25 22:50:55,129 - Step: 92, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.28309696]
2024-11-25 22:50:55,129 - Step: 93, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.64590627]
2024-11-25 22:50:55,130 - Step: 94, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.23956677]
2024-11-25 22:50:55,130 - Step: 95, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.53635068]
2024-11-25 22:50:55,131 - Step: 96, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.74980684]
2024-11-25 22:50:55,131 - Step: 97, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.74873585]
2024-11-25 22:50:55,132 - Step: 98, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.74040522]
2024-11-25 22:50:55,132 - Step: 99, Action: 0, Reward: 0.9554262172710255, State: [-0.04457378  0.          0.          0.          0.40090511]
2024-11-25 22:50:55,132 - Prueba del entorno finalizada.
